G41.900--->G40.901--->0.75
E14.900100--->E10.900--->0.846153846154
P07.101--->P07.300--->0.988395904437
P57.901--->P59.901--->0.866666666667
E74.002--->P59.901--->0.733333333333
B97.400--->J18.000--->0.75
A49.200--->J18.000--->0.838235294118
P77.x00--->P07.300--->0.75
P28.400--->P23.900--->0.814814814815
A37.900--->J18.000--->0.909090909091
P55.100--->P59.901--->0.955607476636
P61.200--->P23.900--->0.740740740741
P39.200--->P07.300--->0.715517241379
H35.100--->P07.300--->0.871559633028
Z38.500--->P07.300--->0.854243542435
P07.200--->P07.300--->1.0
D55.000--->P59.901--->0.8125
Z37.204--->Z38.500--->0.716049382716
P07.000--->P23.900--->0.811827956989
P07.200--->P22.000--->0.883116883117
Z37.204--->P07.300--->0.864197530864
P28.500--->P23.900--->0.911764705882
P61.200--->P22.000--->0.962962962963
P61.200--->P07.300--->0.962962962963
N13.701--->N39.000--->0.952380952381
P28.400--->P07.300--->0.888888888889
P21.900--->P23.900--->0.712643678161
P07.000--->P22.000--->0.811827956989
P22.000--->P23.900--->0.806157354618
P27.100--->P07.300--->0.735772357724
P22.000--->P07.300--->0.965792474344
P07.200--->P23.900--->0.779220779221
P55.900--->P59.901--->0.935483870968
P07.000--->P07.300--->0.991935483871
P61.400,Q25.000--->P07.300,P22.000--->0.763779527559
P27.100,Z38.500--->P07.300,P22.000--->0.875
P07.200,P27.100--->P22.000,P23.900--->0.742857142857
P07.101,P36.901--->P07.300,P23.900--->0.766666666667
P07.000,Z38.500--->P07.300,P22.000--->0.731707317073
P27.100,P59.901--->P22.000,P61.400--->0.725490196078
J96.900,P07.101--->P07.300,P22.000--->0.754385964912
P07.200,Q21.101--->P07.300,P22.000--->0.909090909091
P22.000,P70.400--->P07.300,P23.900--->0.818181818182
H35.100,Z38.500--->P07.000,P07.300--->0.76
J96.900,P27.100--->P07.300,P22.000--->0.852941176471
Q25.000,Z38.500--->P07.300,P23.900--->0.701754385965
P07.000,P59.901--->P07.300,P22.000--->0.866141732283
P21.900,Q25.000--->P07.300,P23.900--->0.75
B49.x00,P23.900--->P07.300,P22.000--->0.741935483871
B49.x00,P22.000--->P07.300,P23.900--->0.851851851852
E87.201,P22.000--->P07.300,P23.900--->0.783783783784
P27.100,Q25.000--->P22.000,P23.900--->0.741379310345
H35.100,P59.901--->P07.000,P07.300--->0.724137931034
P07.000,P61.400--->P22.000,P23.900--->0.708737864078
P07.000,Q21.101--->P07.300,P23.900--->0.8
H35.100,P61.400--->P07.300,P23.900--->0.71186440678
J96.900,P22.000--->P07.300,P23.900--->0.790322580645
J96.900,P07.300--->P22.000,P23.900--->0.705035971223
P07.000,P21.900--->P07.300,P23.900--->0.84126984127
P07.000,P39.200--->P07.300,P22.000--->0.964285714286
P22.000,Q21.101--->P07.300,P23.900--->0.779710144928
J96.900,P27.100--->P22.000,P23.900--->0.852941176471
P27.100,Q21.101--->P07.300,P23.900--->0.709302325581
P07.200,Q25.000--->P07.300,P23.900--->0.863636363636
P07.200,Q25.000--->P07.300,P22.000--->0.954545454545
P27.100,P39.200--->P07.300,P22.000--->1.0
P27.100,Q25.000--->P07.300,P22.000--->0.810344827586
P27.100,Q25.000--->P07.300,P23.900--->0.793103448276
P27.100,P61.400--->P07.300,P23.900--->0.838983050847
P07.000,P27.100--->P22.000,P23.900--->0.823008849558
P23.900,P27.100--->P07.300,P22.000--->0.851851851852
P22.000,P27.100--->P07.300,P23.900--->0.867924528302
P07.300,P27.100--->P22.000,P23.900--->0.762430939227
P22.000,Z38.500--->P07.300,P23.900--->0.771084337349
P07.000,P61.400--->P07.300,P23.900--->0.839805825243
P07.000,P27.100--->P07.300,P23.900--->0.87610619469
P07.000,P39.200--->P07.300,P23.900--->0.785714285714
P21.900,P27.100--->P22.000,P23.900--->0.913043478261
P07.101,Q21.101,Q25.000--->P07.300,P23.900--->0.785714285714
P07.101,P21.900,Q25.000--->P07.300,P23.900--->0.909090909091
J96.900,P07.300,P21.900--->P22.000,P23.900--->0.75
J96.900,P21.900,P22.000--->P07.300,P23.900--->0.866666666667
P07.300,P21.900,P61.400--->P22.000,P23.900--->0.714285714286
P21.900,P22.000,P61.400--->P07.300,P23.900--->0.846153846154
P21.900,P27.100,P61.400--->P07.300,P22.000--->0.96
P07.000,P27.100,P61.400--->P22.000,P23.900--->0.844155844156
H35.100,P23.900,Q21.101--->P07.300,P22.000--->0.714285714286
H35.100,P22.000,Q21.101--->P07.300,P23.900--->0.769230769231
P22.000,P59.901,P61.400--->P07.300,P23.900--->0.75
P07.000,P59.901,Q21.101--->P07.300,P22.000--->0.954545454545
P07.300,P27.100,P59.901--->P22.000,P23.900--->0.843137254902
P23.900,P27.100,P59.901--->P07.300,P22.000--->0.955555555556
P22.000,P27.100,P59.901--->P07.300,P23.900--->0.877551020408
P27.100,P59.901--->P07.300,P22.000,P23.900--->0.843137254902
J96.900,P07.300,Q25.000--->P22.000,P23.900--->0.80487804878
J96.900,P22.000,Q25.000--->P07.300,P23.900--->0.825
P23.900,Q25.000,Z38.500--->P07.300,P22.000--->0.761904761905
P22.000,Q25.000,Z38.500--->P07.300,P23.900--->0.864864864865
P07.000,Q21.101,Z38.500--->P07.300,P23.900--->0.783783783784
P07.000,P61.400,Z38.500--->P07.300,P22.000--->0.765957446809
P07.000,P27.100,Q25.000--->P07.300,P22.000--->0.909090909091
H35.100,P07.000,P23.900--->P07.300,P22.000--->0.878048780488
H35.100,P07.000,P22.000--->P07.300,P23.900--->0.765957446809
P27.100,P61.400,Q21.101--->P22.000,P23.900--->0.77358490566
P27.100,P61.400,Q25.000--->P07.300,Q21.101--->0.710526315789
P07.000,Q21.101,Q25.000--->P07.300,P22.000--->0.913793103448
J96.900,P07.300,P59.901--->P22.000,P23.900--->0.710526315789
P07.000,P27.100,Q21.101--->P07.300,P23.900--->0.872340425532
P22.000,P61.400,Q21.101--->P07.300,P23.900--->0.817567567568
J96.900,P07.000,P07.300--->P22.000,P23.900--->0.883720930233
J96.900,P07.000,P23.900--->P07.300,P22.000--->0.95
J96.900,P07.000,P22.000--->P07.300,P23.900--->0.926829268293
J96.900,P07.000--->P07.300,P22.000,P23.900--->0.883720930233
P07.000,Q21.101,Q25.000--->P22.000,P23.900--->0.775862068966
P07.101,Q21.101,Z38.500--->P07.300,P23.900--->0.731343283582
P07.300,P21.900,P27.100--->P22.000,P23.900--->0.911111111111
P21.900,P23.900,P27.100--->P07.300,P22.000--->0.953488372093
P21.900,P22.000,P27.100--->P07.300,P23.900--->0.911111111111
P21.900,P27.100--->P07.300,P22.000,P23.900--->0.891304347826
P27.100,P61.400,Q21.101--->P07.300,P22.000--->0.830188679245
P22.000,P27.100,Q21.101--->P07.300,P61.400--->0.72131147541
P27.100,Q21.101,Q25.000--->P07.300,P23.900--->0.75
H35.100,P07.000,P27.100--->P07.300,P23.900--->0.833333333333
P07.000,P21.900,Q21.101--->P07.300,P22.000--->0.95652173913
P07.000,P27.100,Q25.000--->P22.000,P23.900--->0.757575757576
P07.300,P61.400,Q25.000--->P22.000,P23.900--->0.739130434783
P23.900,P61.400,Q25.000--->P07.300,P22.000--->0.794392523364
P22.000,P61.400,Q25.000--->P07.300,P23.900--->0.858585858586
P07.000,P27.100,Q21.101--->P22.000,P23.900--->0.787234042553
J96.900,P07.300,P27.100--->P22.000,P23.900--->0.933333333333
J96.900,P23.900,P27.100--->P07.300,P22.000--->0.933333333333
J96.900,P22.000,P27.100--->P07.300,P23.900--->0.933333333333
J96.900,P27.100--->P07.300,P22.000,P23.900--->0.823529411765
P07.101,P22.000,Q25.000--->P07.300,Q21.101--->0.71875
P07.101,Q21.101,Q25.000--->P07.300,P22.000--->0.704081632653
P07.101,P61.400,Q25.000--->P07.300,P23.900--->0.809523809524
P07.200,P07.300,P27.100--->P22.000,P23.900--->0.742857142857
P07.200,P23.900,P27.100--->P07.300,P22.000--->0.962962962963
P07.200,P22.000,P27.100--->P07.300,P23.900--->0.866666666667
P07.200,P27.100--->P07.300,P22.000,P23.900--->0.742857142857
P07.000,P21.900,P27.100--->P07.300,P23.900--->1.0
P07.000,P59.901,Z38.500--->P07.300,P22.000--->0.892857142857
H35.100,P07.000,P27.100--->P22.000,P23.900--->0.791666666667
P07.200,P07.300,P61.400--->P22.000,P23.900--->0.805555555556
P07.200,P23.900,P61.400--->P07.300,P22.000--->1.0
P07.200,P22.000,P61.400--->P07.300,P23.900--->0.852941176471
P07.200,P61.400--->P07.300,P22.000,P23.900--->0.805555555556
P07.000,P23.900,P27.100--->P07.300,P61.400--->0.7
P07.000,P27.100,P61.400--->P07.300,P23.900--->0.909090909091
P07.000,P07.300,P36.901--->P22.000,P23.900--->0.740740740741
P07.000,P23.900,P36.901--->P07.300,P22.000--->0.833333333333
P07.000,P22.000,P36.901--->P07.300,P23.900--->0.869565217391
P07.000,P36.901--->P07.300,P22.000,P23.900--->0.714285714286
P07.101,P21.900,Q21.101--->P07.300,P22.000--->0.828571428571
P07.000,P07.300,P21.900--->P22.000,P23.900--->0.793650793651
P07.000,P21.900,P23.900--->P07.300,P22.000--->0.943396226415
P07.000,P21.900,P22.000--->P07.300,P23.900--->0.847457627119
P07.000,P21.900--->P07.300,P22.000,P23.900--->0.793650793651
P21.900,P27.100,P61.400--->P22.000,P23.900--->0.88
P07.000,P59.901,P61.400--->P07.300,P22.000--->0.875
P22.000,P36.901,P61.400--->P07.300,P23.900--->0.791666666667
H35.100,P59.901,P61.400--->P07.300,P22.000--->0.95
P22.000,P59.901,Q25.000--->P07.300,P23.900--->0.757575757576
P07.000,P27.100,P59.901--->P22.000,P61.400--->0.794117647059
P07.000,P27.100,Q25.000--->P07.300,P23.900--->0.818181818182
P07.000,P21.900,P61.400--->P07.300,P23.900--->0.928571428571
P07.101,P22.000,Z38.500--->P07.300,P23.900--->0.752808988764
P07.000,P21.900,P61.400--->P07.300,P22.000--->0.928571428571
P59.901,P61.400,Q21.101--->P07.300,P22.000--->0.723076923077
